,Name,Latitude,Longitude,Category
0,Lotus travels,19.309297561645508,72.87001037597656,Travel Agency
1,Diamond Roadlines,19.018372366321117,73.11390613501563,Building
2,Rto Office,19.085345947153105,73.00968638272576,Travel Agency
3,zest tours and travels,19.089178,72.836256,Travel Agency
4,Thomas Cook,19.070533752441406,72.9903335571289,Travel Agency
5,Radiant,19.114127,72.859169,Travel Agency
6,Western Union,19.20698845481703,72.83701703415969,Travel Agency
7,Riya Holidays,18.93986438938499,72.83842486835238,Travel Agency
8,Paryatan World,19.166699595032682,72.85059883249164,Travel Agency
9,Travel Smith,19.220597875049634,72.85440090768981,Travel Agency
10,Arzoo.com,19.12099663560987,72.87060088752615,Travel Agency
11,Dragon fly,19.115553396825398,72.84437980952382,Travel Agency
12,Archer Tours Pvt Ltd,19.0975,72.8493,Travel Agency
13,Flight Shop,19.01557859275498,72.82983926128344,Travel Agency
14,Triveni Tours & Travels,19.21629147057797,72.84515235704484,Travel Agency
15,Elysium Resorts Pvt Ltd,18.95143760466426,72.836624685476,Travel Agency
16,FCM Travel Solutions,19.113509,72.880042,Travel Agency
